1,The Tasting Room Seattle,Entertainment,Happy Hour,Wednesdays 5-7:30pm; live music + $5/glass local wine.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,http://winesofwashington.com/events,Free,1,11,foot,1924 Post Alley,Seattle,WA,United States,98101
2,West Seattle Wine Cellars,Alcohol,Urban Wine Tasting,Thursdays 5:30-8pm; (some Fridays and Saturdays).,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,http://www.wscellars.com/Taste.html,Free,2,28,bus,6026 California Avenue Southwest,Seattle,WA,United States,98136
3,Esquin Wine Merchants,Alcohol,Urban Wine Tasting,"Thursdays 5-6:30pm, Saturdays 2-5pm.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,http://www.esquin.com/about.htm,Free,3,13,bus,2700 4th Avenue South,Seattle,WA,United States,98134
4,DeLaurenti Specialty Food & Wine,Alcohol,Urban Wine Tasting,Saturdays 2-4pm; includes 4 cheese pairings. $2.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,http://www.delaurenti.com/wines/tastings/ ,$1 - $5,1,6,foot,1435 1st Avenue,Seattle,WA,United States,98101
5,Champion Wine Cellars,Alcohol,Urban Wine Tasting,Saturdays noon-5pm.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,http://www.championwinecellars.com/events.htm,Free,4,14,bus,108 Denny Way,Seattle,WA,United States,98109
6,McCarthy & Schiering Wine,Alcohol,Urban Wine Tasting,Saturdays 11am-5pm.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,http://mccarthyandschiering.com/free-tastings/,Free,5,26,bus,2401 Queen Anne Avenue North,Seattle,WA,United States,98109
7,European Vine Selections,Alcohol,Urban Wine Tasting,Most Saturdays 3-6pm.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,http://evswines.com/calendar/,Free,6,18,bus,522 15th Avenue East,Seattle,WA,United States,98112
8,Vino Verité ,Alcohol,Urban Wine Tasting,Thursdays 5-8pm.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,http://vinoverite.com/tasting.html,Free,7,26,train,4908 Rainier Ave South Suite C,Seattle,WA,United States,98118
9,Pyramid Breweries,Alcohol,Beer,Mondays (open 11am-10pm); Fill growler (~2L) for $5. ,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://www.pyramidbrew.com/alehouses/seattle/,$1 - $5,3,19,bus,91 South Royal Brougham Way,Seattle,WA,United States,98134
10,Blu Water Bistro,Dining,Brunch,Saturdays and Sundays until 2pm.  Brunch deals: $3.50 mimosas; $8 for 2 pancakes + 2 eggs. ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,http://www.bluwaterbistro.com/wp-content/uploads/2015/09/36795_PL_B-BluWater-Brunch-Guts.pdf,$10 - $15,8,20,bus,102 Lakeside Avenue,Seattle,WA,United States,98122
11,Community Yoga,Wellness,Yoga,Once/month: Sunday at 10am.  Vinyasa flow.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://www.meetup.com/South-Seattle-Yoga/,Free,9,21,train,3333 Rainier Avenue South Suite D,Seattle,WA,United States,98144
12,Lululemon Run Club,Wellness,Running,Tuesdays 6-7pm. Meet at store at 6pm and run either 3 or 5 mile loop in downtown Seattle; all levels welcome.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,http://www.lululemon.com/stores/us/seattle/pacificplace/events,Free,1,8,foot,600 Pine Street,Seattle,WA,United States,98101
13,The Grinning Yogi,Wellness,Yoga,Sundays at 10:45am-11:45am. Yoga class taught by a trainee or recent grad.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,thegrinningyogi.com,Free,6,20,bus,345 15th Avenue East Suite 102,Seattle,WA,United States,98112
14,Hothouse Spa,Wellness,Relaxation,"Noon-midnight; closed Tuesdays. $18 entrance; $30 for 15 min massage; ** by comparisson, korean spa $38 entry.  Entrance fee allows access to facilities all day (noon-midnight): hot tub, sauna, steam room, cold plunge, relaxation area, filtered water, and showers. 4/5 stars on yelp.  Bathing suit may be worn but not encouraged. ",0,1,1,0,1,1,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,http://hothousespa.com/HH1.HTM,$15 - $20,6,12,bus,1019 E Pike Street,Seattle,WA,United States,98122
15,Country Dance Lessons,Wellness,Dancing,"Sunday, Monday (line dancing), Tuesday nights at 8pm.",0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,http://www.littleredhen.com/new-pgs/dance-lessons.html,Free,10,29,bus,7115 Woodlawn Avenue Northeast,Seattle,WA,United States,98115
16,Tiger Lily Yoga,Wellness,Yoga,"Wednesdays 530-645pm, Saturdays 11am-1215pm, ​Sundays 10am-1130am. All levels donation-based classes (pay what you can).  Pay in studio (do not preregister), cash only.",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,http://www.tigerlilyyoga.com/,$5 - $10,7,29,bus,4405 Rainier Ave South,Seattle,WA,United States,98118
17,Urban Yoga Spa ,Wellness,Yoga,Saturdays and Sundays 2-3pm. Taught by soon to be graduates of studio's teacher training. ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,http://www.urbanyogaspa.com/,Free,1,7,foot,1900 4th Avenue,Seattle,WA,United States,98101
18,Yoga to the People,Wellness,Yoga,"Monday & Friday: 12pm, 4:30pm, 6pm,
Tuesday, Wednesday & Thursday: 12pm, 4:30pm, 6pm, 7:30pm;
Saturday: 10:30am, 5:30pm
Sunday: 10:30am (90-min), 5:30pm, 7pm(candle-lit), 8:30pm(candle-lit).  All Power Vinyasa Flow classes are donation-based.  Studio has locker rooms with showers and lockers (bring your own lock).",1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,1,0,1,http://yogatothepeople.com/seattle/schedule-fees/power-vinyasa-flow/,$5 - $10,11,19,bus,4511 Roosevelt Way Northeast,Seattle,WA,United States,98105
19,Red Square Yoga,Wellness,Yoga,"Monday: 10:00-11:30am,
Tuesday: 6:30-7:30pm,
Wednesday: 8:30-9:45am, 10:00-11am,
Thursday:9:00-10:15am
Friday: 10-11:15am
Saturday: 9:30-11am
Sunday: 10-11:30 am.  All regular class fees are donation-based.",1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,http://redsquareyoga.com/schedule-workshops/#fees,$5 - $10,5,21,bus,1911 10th Avenue West,Seattle,WA,United States,98119
20,Olympic Sculpture Park,Sightseeing,Art,6am-8pm everyday.  Features a number of outdoor sculptures over 9 acres.  Free tours every Saturday and Sunday 1-2pm April-October; no registration necessary.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,http://www.seattleartmuseum.org/visit/olympic-sculpture-park,Free,12,23,foot,2901 Western Avenue,Seattle,WA,United States,98121
21,Volunteer Park Conservatory,Sightseeing,Gardens,"Tuesday-Sunday 10am-4pm; year-round including non-Monday holidays.  Includes 5 greenhouses of different plant themes: bromeliad, palm, fern, season floral, cactus.  ",1,1,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,volunteerparkconservatory.org,$1 - $5,6,23,bus,1400 East Galer Street,Seattle,WA,United States,98112
22,Washington Park Arboretum,Sightseeing,Outdoors,"230 acres of gardens, natural areas and wetlands.  Free guided tours every Sunday 1-2:30pm (except in December); no registration.  Free self-guided tours year-round. Free parking.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,http://depts.washington.edu/uwbg/gardens/wpa.shtml,Free,13,27,bus,2300 Arboretum Drive East,Seattle,WA,United States,98112
23,Boat Rides at Center for Wooden Boats,Sightseeing,Outdoors,"Sundays; generally depart between 11am and 3pm. Rides are 45 min-1 hr long.  Year-round, rain or shine.  Sign up in-person starting at 10am every Sunday (open all day); first-come, first-served. 200 spots available for a given day.  Can walk around after signing up; arrive 20 min prior to time slot.  1 person may sign up for 3 additional people (so total of 4).  Arrive early especially on sunny days/holidays to guarantee a spot.
Walking the docks, exploring the boats and browsing the exhibits is always free of charge. ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://cwb.org/events/cast-off/,Free,14,15,bus,1010 Valley Street,Seattle,WA,United States,98109
24,The Paramount Theatre,Sightseeing,Tours,1st Saturday each month 10-11:30am.  Free tour of historic Paramount Theatre.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,http://www.stgpresents.org/tickets/eventdetail/1748/-/-,Free,1,11,foot,911 Pine Street,Seattle,WA,United States,98101
25,Avalon Glassworks,Sightseeing,Art,"Mondays 10am-4pm, Thursday-Sunday 11am-5pm. Watch live glass blowing.",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,http://www.avalonglassworks.com/visit/watch-live-glass-blowing/,Free,2,16,bus,2914 Southwest Avalon Way,Seattle,WA,United States,98126
26,Frye Art Museum,Sightseeing,Art,"Tuesday–Sunday: 11am-5pm,
Thursday: 11am-7pm.  Permanent late-nineteenth and early-twentieth-century European paintings as well as temporary exhibitions.",1,1,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,0,1,1,0,http://www.fryemuseum.org/,Free,15,16,foot,704 Terry Avenue,Seattle,WA,United States,98104
27,Klondike Gold Rush National Historical Park,Sightseeing,History,Daily 10am-5pm.  Preserves the story of the stampede to the Yukon gold fields and Seattle's crucial role in this event.,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,http://www.nps.gov/klse/index.htm,Free,16,15,foot,319 Second Avenue South,Seattle,WA,United States,98104
28,Central Cinema,Entertainment,Movies,"Showings change frequently, generally cult classics.  Dine-in theater (waiter service and couch seating, made fresh to order).  $8/ticket (purchase at least 24 hours in advance); 99-cent showrings during the week.  Happy Hour deals every day 5:30-6:30 ($4 beer, $4 wine, cocktails $2 off, food $2-$6).",0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,www.central-cinema.com,$5 - $10,17,16,bus,1411 21st Avenue,Seattle,WA,United States,98122
29,Sundance Cinemas,Entertainment,Movies,"Has food and bar. Must purchase tickets at box office:
-ORCA Card Mondays: $6 per ticket when you show ORCA card.
-Girls Movie Night Out Tuesdays: $5 per ticket every Tuesday night for groups of two or more ladies.",0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,sundancecinemas.com,$5 - $10,11,20,bus,4500 9th Avenue Northeast,Seattle,WA,United States,98105
30,Seward Park Audobon Owl Prowls,Education,Outdoors,Owl Prowls: 1st and 3rd Saturday of the month Jan-Oct; 2.5 hours beginning at dusk; $5.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,http://sewardpark.audubon.org/wildlife-classes-trainings-0,$5 - $10,18,48,bus,5902 Lake Washington Boulevard South,Seattle,WA,United States,98118
31,Barolo Ristortante,Dining,Happy Hour,"Daily 3-6:30pm; 10pm-close.  Happy hour is available in bar section only.  50% off food menu (see link); $3.95 glass select white, red, rose’ ($14/bottle), $3.25 pints",0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,http://bit.ly/YdCP2Y ,$10 - $15,19,11,foot,1940 Westlake Avenue,Seattle,WA,United States,98101
32,Blueacre Seafood,Dining,Happy Hour,"Daily (lounge only) 3-6pm. $7 blackened catfish tacos, crab and bay shrimp tots, moules frites, etc., $3 draughts, $1.50 Rainier, $5 wine/bubbles.",0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,http://bit.ly/HGHdDN ,$10 - $15,19,11,foot,"1700 7th Avenue
Suite 100",Seattle,WA,United States,98101
33,Chan Seattle,Dining,Happy Hour,"Tues-Sat, 5-6:30p & 9-10p; all night in the bar Tues-Thurs. Food max $6, cocktails max $5.",0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,http://bit.ly/1dYMEwX ,$10 - $15,1,9,foot,86 Pine Street,Seattle,WA,United States,98101
34,Mistral Kitchen,Dining,Happy Hour,"4-6:30pm Daily.  $6 Pizza Margherita, $6 cocktails, $6 wine, beer 50% off",0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,http://mistral-kitchen.com/menus/happy-hour/,$10 - $15,19,13,foot,2020 Westlake Avenue,Seattle,WA,United States,98121
35,List,Dining,Happy Hour,"Sunday and Monday all day,
Tuesday-Thursday: 4-6:30 + 9-midnight,
Friday and Saturday 4-6:30.  All items on ‘The Food List’ page are half price,
Glass of white or red $3.99 ($15 bottle),
All draft beer $3.25",1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,http://www.listbelltown.com/images/List_Food_Menu_for_Website.pdf,$10 - $15,12,15,foot,2226 1st Avenue,Seattle,WA,United States,98121
36,Alki Beach Fire Pits,Entertainment,Outdoors,"Year-round, can stay until 11:30pm. First-come, first-served (6 pits).",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,http://www.seattle.gov/parks/parkspaces/alkibeachpark/fire.htm,Free,2,47,bus,1702 Alki Avenue Southwest,Seattle,WA,United States,98116
37,Seattle Chinese Garden,Sightseeing,Garden,Daily dawn-dusk. 4.6 acres.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,http://www.seattlechinesegarden.org/,Free,2,23,bus,6000 16th Avenue Southwest,Seattle,WA,United States,98106
38,Sanca,Wellness,Acrobatics,Friday nights 5:30-7:30pm.  Pay-per-flight (flying trapeze). $10 for first turn; $5 for each additional turn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,http://sancaseattle.org/events/pay-per-flight/,$10 - $15,20,23,bus,674 S. Orcas Street,Seattle,WA,United States,98108
39,Waterfall Garden,Sightseeing,Outdoors,"Daily 8am-5:30pm. Great place to sit down, relax, and enjoy scenery. ""unique oasis downtown in the midst of Pioneer Square"".",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,http://www.yelp.com/biz/waterfall-garden-seattle,Free,16,14,foot,219 2nd Avenue South,Seattle,WA,United States,98104
40,Theo Chocolate Tour,Sightseeing,Tours,Daily 10am-6pm. $10. ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://www.theochocolate.com/factory-tour,$10 - $15,21,20,bus,3400 Phinney Avenue North,Seattle,WA,United States,98103
41,Fremont Troll,Sightseeing,Art,troll under Aurora Bridge,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,http://fremont.com/about/fremonttroll-html/,Free,21,20,bus,3405 Troll Avenue North,Seattle,WA,United States,98103
42,Umi Sake House ,Dining,Happy Hour,"Daily 4-6pm (4-8pm front porch & cocktail bar),
Sun-Thurs: 11pm-close Sun-Thurs.  Accepts reservations. Rolls for $5.50-$6.50",0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,http://www.umisakehouse.com/#!happy-hour/c1div,$15 - $20,12,15,foot,2230 First Avenue,Seattle,WA,United States,98121
43,Japonessa,Dining,Happy Hour,Daily open-6:30pm (6:30-8pm in bar); 10:00pm-close.  Accepts reservations. Rolls $5-$7.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,http://www.yelp.com/menu/japonessa-seattle/happy-hour,$15 - $20,1,5,foot,1400 1st Avenue,Seattle,WA,United States,98101
